 ,Linea,Cod Familia,Familia,Cod Producto,Producto,Cod Color,Familia Color,COD SKU PT,UM,Doc x Paq,Doc X bulto,PESO g.,Precio Estimado, Precio Sin IGV , Indicador x kg. ,Status,Codigo Barra,Marca,Nombre GS1,OBS
1,HOGAR,16,SPORT BOTTLE,238,SPORT BOTTLE CLICK AVENTURA 600ML.,5,Varios,11623805,DOC,10,40,60,36,30.51,10.59,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,239,SPORT BOTTLE CLICK AVENTURA 750ML.,5,Varios,11623905,DOC,10,40,60,45,38.14,13.24,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,240,SPORT BOTTLE SORBETE AVENTURA 300ML.,5,Varios,11624005,DOC,10,40,60,32,27.12,9.42,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,241,SPORT BOTTLE SORBETE AVENTURA 350ML.,5,Varios,11624105,DOC,10,40,60,36,30.51,10.59,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,242,SPORT BOTTLE SORBETE AVENTURA 450ML.,5,Varios,11624205,DOC,10,40,60,45,38.14,13.24,ALTA,,,,
1,HOGAR,14,PACKS,243,PACK: TAPER 550ML+ VASO MANZANITA,5,Varios,11424305,DOC,5,10,56,40,33.9,12.61,ALTA,,,,
1,HOGAR,15,SALSEROS,244,SALSERO CLICK COL 300ML.,4,Transparente,11524404,DOC,10,40,30,13.5,11.44,7.94,ALTA,,,,
1,HOGAR,15,SALSEROS,245,SALSERO CLICK COL 400ML.,4,Transparente,11524504,DOC,10,40,32,15.5,13.14,8.55,ALTA,,,,
1,HOGAR,15,SALSEROS,246,SALSERO CLICK PERITA 225ML.,4,Transparente,11524604,DOC,10,40,27,14.5,12.29,9.48,ALTA,,,,
1,HOGAR,19,VASOS,247,VASO MUNDO MANZANITA,1,Caramelo,11924701,DOC,30,120,21,7,5.93,5.89,ALTA,,,,
1,HOGAR,14,PACKS,248,PACK:PORTAVAJILLA + PORTA ACCESORIO CARAMELO,1,Caramelo,11424801,DOC,1,2,"1,036.00",312,264.41,5.32,ALTA,,,,
1,HOGAR,12,FLOREROS,249,FLORERO DIAMANTE CARAMELO,1,Caramelo,11224901,DOC,4,16,84,32,27.12,6.73,ALTA,,,,
